company_name,category,city,item_id,item_name,item_type,referral_link,image_URL,FHDN_calendar_URL,calendar_script,island
Manny's Diving Adventures,Scuba,Honolulu,380366,Ultimate Scuba Experience,Activity,https://fareharbor.com/embeds/book/mannysdivingadventures/items/380366/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,https://cdn.filestackcontent.com/yfRT716pTDmMv8nvE2p8,https://fareharbor.com/embeds/calendar/mannysdivingadventures/items/380366/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,< !--FareHarbor calendar-- ><script src='https://fareharbor.com/embeds/script/calendar/mannysdivingadventures/items/380366/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK></script>,Oahu
Manny's Diving Adventures,Scuba,Honolulu,352083,3 Day Open Water Course,Activity,https://fareharbor.com/embeds/book/mannysdivingadventures/items/352083/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,https://cdn.filestackcontent.com/Q1Vgw5IGQ4mZAC0zcjMp,https://fareharbor.com/embeds/calendar/mannysdivingadventures/items/352083/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,< !--FareHarbor calendar-- ><script src='https://fareharbor.com/embeds/script/calendar/mannysdivingadventures/items/352083/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK></script>,Oahu
Manny's Diving Adventures,Scuba,Honolulu,331221,Certified Divers,Activity,https://fareharbor.com/embeds/book/mannysdivingadventures/items/331221/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,https://cdn.filestackcontent.com/iLaVlYiSeazUZ2DUw8wv,https://fareharbor.com/embeds/calendar/mannysdivingadventures/items/331221/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,< !--FareHarbor calendar-- ><script src='https://fareharbor.com/embeds/script/calendar/mannysdivingadventures/items/331221/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK></script>,Oahu
Manny's Diving Adventures,Scuba,Honolulu,65610,Advanced Open Water Course,Activity,https://fareharbor.com/embeds/book/mannysdivingadventures/items/65610/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,https://cdn.filestackcontent.com/T6GJpWRWSKfjfPjjhSQG,https://fareharbor.com/embeds/calendar/mannysdivingadventures/items/65610/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,< !--FareHarbor calendar-- ><script src='https://fareharbor.com/embeds/script/calendar/mannysdivingadventures/items/65610/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK></script>,Oahu
Manny's Diving Adventures,Scuba,Honolulu,65609,Rescue Course,Activity,https://fareharbor.com/embeds/book/mannysdivingadventures/items/65609/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,https://cdn.filestackcontent.com/CRdJmnTQ0OaZlWN4B6Hg,https://fareharbor.com/embeds/calendar/mannysdivingadventures/items/65609/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,< !--FareHarbor calendar-- ><script src='https://fareharbor.com/embeds/script/calendar/mannysdivingadventures/items/65609/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK></script>,Oahu
Manny's Diving Adventures,Scuba,Honolulu,65608,Open Water Course,Activity,https://fareharbor.com/embeds/book/mannysdivingadventures/items/65608/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,https://cdn.filestackcontent.com/Q1Vgw5IGQ4mZAC0zcjMp,https://fareharbor.com/embeds/calendar/mannysdivingadventures/items/65608/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,< !--FareHarbor calendar-- ><script src='https://fareharbor.com/embeds/script/calendar/mannysdivingadventures/items/65608/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK></script>,Oahu
Manny's Diving Adventures,Scuba,Honolulu,65600,Discover Scuba Diving,Activity,https://fareharbor.com/embeds/book/mannysdivingadventures/items/65600/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,https://cdn.filestackcontent.com/iLaVlYiSeazUZ2DUw8wv,https://fareharbor.com/embeds/calendar/mannysdivingadventures/items/65600/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,< !--FareHarbor calendar-- ><script src='https://fareharbor.com/embeds/script/calendar/mannysdivingadventures/items/65600/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK></script>,Oahu
Manny's Diving Adventures,Scuba,Honolulu,65598,Snorkel Tour,Activity,https://fareharbor.com/embeds/book/mannysdivingadventures/items/65598/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,https://cdn.filestackcontent.com/siyoArnUQlK9QJDc9icQ,https://fareharbor.com/embeds/calendar/mannysdivingadventures/items/65598/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,< !--FareHarbor calendar-- ><script src='https://fareharbor.com/embeds/script/calendar/mannysdivingadventures/items/65598/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK></script>,Oahu
Ocean Therapy Charters,Boat,Honolulu,638945,Dusk & Night Dive,Activity,https://fareharbor.com/embeds/book/oceantherapycharters/items/638945/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,https://cdn.filestackcontent.com/YnJo374ASL6hh6RYeZzN,https://fareharbor.com/embeds/calendar/oceantherapycharters/items/638945/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,< !--FareHarbor calendar-- ><script src='https://fareharbor.com/embeds/script/calendar/oceantherapycharters/items/638945/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK></script>,Oahu
Ocean Therapy Charters,Boat,Honolulu,570389,LonopÅ«hÄ (Alpha Lipoic Acid Infusion),Activity,https://fareharbor.com/embeds/book/oceantherapycharters/items/570389/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,https://cdn.filestackcontent.com/gIk9BZJKStK3AiDcVV7r,https://fareharbor.com/embeds/calendar/oceantherapycharters/items/570389/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,< !--FareHarbor calendar-- ><script src='https://fareharbor.com/embeds/script/calendar/oceantherapycharters/items/570389/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK></script>,Oahu
